Organization,Partner,Program_Name,Service_Type,Status,Notes
Massachusetts Bay Transportation Authority,Uber/Lyft/Curb,Pilot program,On-demand transit,Ended April 30 2021,
Miami-Dade Transit DTPW,Uber/Lyft,Go Nightly,On-demand overnight rides,Launched April 2020,Replaced overnight Metrobus service
Uber,Various cities,Adaptive fleet testing,Wheelchair accessible vans,Testing phase,Vans with lifts or ramps
Lyft,National organizations,Lyft Amp,Deaf/hard of hearing accessible,Nationwide,Pre-ride texting and in-car communication
