Metric,Value,Year,Source,Notes
Total USPS Fleet Vehicles,231541,2020,USPS,Up from 228940 in 2019
USPS Leased Trailers,9544,2020-05,USPS,77% of total trailers
USPS Owned Trailers,2905,2020-05,USPS,23% of total trailers; no longer serviceable
USPS Trailer Replacement Purchase,825,2020-05,USPS,$24.5 million approved
Additional Owned Trailers to Replace,2080,2021,USPS,Planned for FY 2021
Highway Contract Routes (HCR) Spend,$3.0 billion,2016,USPS,Approximately 8200 routes
Highway Contract Routes (HCR) Count,8200,2016,USPS,Private trucking carriers
