Partner_Company,Agreement_Date,Product_Service,Application,Source_Page
Caterpillar Inc,2013,Iridium satellite M2M network,Construction equipment telematics,101
CNH Industrial America LLC,March 2015,Iridium M2M solutions,Case SiteWatch and New Holland Construction FleetForce,101
Hitachi,September 2017,Iridium satellite service,Global e-Service construction machinery management system,101
Kobelco Construction Machinery,November 2020,Two-way satellite communications,Hydraulic excavators and KOMEXS remote asset management platform,101
Iridium,January 2021,Iridium Edge Solar,Solar-powered remote asset tracking and management device,101
