Rank,Company,2020_Revenues,Trucks,Tractors,Total_Trucks_and_Tractors,Source_Report,Report_Year
1,UPS Inc.,$84.6 billion,96925,33648,130573,Fleet Owner 500 For-Hire Fleets,2020
2,Fed Ex Corporation,$69.7 billion,86103,31114,117217,Fleet Owner 500 For-Hire Fleets,2020
3,Penske,$20.4 billion,23093,20142,43235,Fleet Owner 500 For-Hire Fleets,2020
4,Knight-Swift Holdings,$4.7 billion,35,21795,21830,Fleet Owner 500 For-Hire Fleets,2020
5,J.B. Hunt Transport Inc.,$9.6 billion,769,17490,18259,Fleet Owner 500 For-Hire Fleets,2020
