Metric,Value,Unit,Year,Source,Notes
Total school buses operating,479867,buses,2021,School Bus Fleet,U.S. total
School district owned,69,percent,2021,School Bus Fleet,Ownership breakdown
Contractor owned,29,percent,2021,School Bus Fleet,Ownership breakdown
State owned,2,percent,2021,School Bus Fleet,Ownership breakdown
School bus sales,32381,units,2020,School Bus Fleet,COVID-19 decline
School bus sales,40714,units,2019,School Bus Fleet,Pre-pandemic baseline
GPS fleet management penetration,67,percent,2021,MRM Report estimate,Two-thirds of U.S. school buses
Zonar Systems customer base,202000,buses,2021,MRM Report,U.S. school buses using Zonar
Synovia Solutions customer base,120000,buses,2021,MRM Report,School buses using Synovia
