Company,Target_Markets,Units_Nov_2018,Units_Dec_2020,Pricing_Range_USD,Notes
Forward Thinking Systems,"Service fleets, government fleets, trucking fleets","40,000","70,000","$20-60/month depending on features",Growth of 75%
Fleetilla,"Vehicles, trailers, construction equipment, unpowered assets, indoor/outdoor equipment","28,000 US","28,000 US; 40,000 globally",Not reported,Expanded globally
Rhino Fleet Tracking,"Construction, service fleets, trailers, heavy equipment","25,000","25,000-30,000","$39.95 hardware; $16.95/month no contract",Stable growth
InSight Mobile Data / Street Eagle,"Service fleets, construction, public transit, limousines, home health care, municipal governments, utilities, regional trucking","25,000","25,000","$19.99-80/month (bundled solutions with routing/scheduling/dispatch on tablets)",Stable
ClearPathGPS,"HVAC, construction, agriculture, landscaping, pest control, plumbing, roofing","15,000-20,000","15,000-25,000","$20 Standard or $25 Professional (Freedom Plan, flexible cancellation)",Growth in range
Zubie,"Small/mid-size fleets, automotive, insurance, mobile telcos, rental car","20,000","20,000","$15-25/month with 1-3 year contracts",Repositioned to fleets in 2019
Vecima Networks,"Service companies, government fleets","15,000 North America (majority US)","20,000 North America (majority US)","$20-30/month bundled",33% growth
FleetUp,"Oil & gas, mining, construction, utilities, transportation & logistics, service fleets","10,000","15,000+","$19-35+/month depending on options",50% growth
One Step GPS,Most fleet segments except long-haul trucking,"10,000-20,000","10,000-20,000","$13.95/month standard; $11.50 large fleets; no contracts",Stable
