Company,Headquarters,2020 Total Revenues,Electrical Revenues,Corporate Fleet Vehicles,Notes
Quanta Services,"Houston, TX",$11.2 billion,$7.77 billion,53000,Electrical portion of total revenues
EMCOR Group Inc.,"Norwalk, CT",$8.8 billion,~$6.6 billion (75% of revenues),10485,Plumbing & HVAC account for about 25% of revenues
Henkles & McCoy Group,"Blue Bell, PA",$3.4 billion,N/A,3130,N/A
MYR Group Inc.,"Rolling Meadows, IL",$2.25 billion,N/A,1560 (est),N/A
Rosendin Electric,"San Jose, CA",Nearly $2.0 billion,N/A,Not reported,Fleet size not reported
